営業キロ,SR,天夜交通,風神鉄道,風神地下鉄,堽壑鐵道,神北急行電鉄,白木メトロ,白木鉄道,長急電鉄,みなとライン,科山鉄道,御川縣鐡,古莉亜鉄道,河原鉄道,澪川地下鉄,珱澪高速鉄道,桐窪鉄道,宮古急行,珱羽地下鉄
1,140,140,130,200,300,150,180,140,120,180,150,320,100,190,210,270,300,80,170
2,140,140,130,200,300,150,180,140,120,180,150,320,100,190,210,270,300,80,170
3,140,140,180,200,380,150,180,140,120,180,150,390,170,280,210,360,300,80,170
4,200,140,230,200,460,150,180,190,160,250,200,460,240,370,260,450,300,130,170
5,260,140,280,200,540,150,180,240,200,250,250,530,300,460,260,540,300,180,200
6,320,190,330,200,620,190,220,290,240,250,300,600,360,540,300,630,300,230,200
7,380,240,380,200,700,230,220,340,280,360,350,670,420,620,300,720,300,280,200
8,440,290,430,200,780,270,220,390,320,360,400,740,480,700,300,810,300,330,230
9,500,340,480,250,860,310,220,440,360,360,450,810,530,780,340,900,500,380,230
10,560,390,530,250,940,350,270,490,400,360,500,880,580,860,340,990,500,430,230
11,620,440,580,250,1010,390,270,540,430,360,550,940,630,930,340,1050,500,470,260
12,680,490,630,250,1080,430,270,590,470,360,600,1000,680,1000,370,1050,500,510,260
13,740,540,680,250,1150,470,270,640,510,360,640,1060,720,1070,370,1050,500,550,260
14,800,590,730,250,1220,510,270,690,550,360,680,1120,760,1140,370,1050,500,590,290
15,860,640,780,250,1290,550,380,740,590,360,720,1180,800,1210,370,1050,500,630,290
16,920,690,830,250,1360,590,380,780,620,360,760,1240,840,1270,370,1050,500,660,290
17,980,740,880,300,1430,630,380,820,650,360,800,1300,880,1330,370,1050,500,690,330
18,1040,790,930,300,1500,670,380,860,680,360,840,1360,920,1390,370,1050,500,720,330
19,1100,840,980,300,1570,710,380,900,710,360,880,1420,960,1450,370,1050,500,750,330
20,1160,890,1030,300,1640,750,380,940,740,360,920,1480,1000,1510,370,1050,500,780,330
21,1210,930,1080,300,1700,790,380,980,770,360,950,1540,1040,1570,370,1050,500,800,370
22,1260,970,1130,300,1760,830,380,1020,800,360,980,1600,1080,1630,370,1050,500,820,370
23,1310,1010,1180,300,1820,870,380,1060,830,360,1010,1660,1120,1690,370,1050,500,840,370
24,1360,1050,1230,300,1880,910,380,1100,860,360,1040,1720,1160,1750,370,1050,500,860,370
25,1410,1090,1280,300,1940,950,380,1140,890,360,1070,1780,1200,1810,370,1050,500,880,370
26,1460,1130,1330,300,2000,990,380,1180,920,360,1100,1840,1240,1870,370,1050,500,900,370
27,1510,1170,1380,300,2060,1030,380,1220,950,360,1130,1900,1280,1930,370,1050,500,920,370
28,1560,1210,1430,300,2120,1070,380,1260,980,360,1160,1960,1320,1990,370,1050,500,940,370
29,1610,1250,1480,300,2180,1110,380,1300,1010,360,1190,2020,1360,2050,370,1050,500,960,370
30,1660,1290,1530,300,2240,1150,380,1340,1040,360,1220,2080,1400,2110,370,1050,500,980,370
31,1710,1320,1580,300,2290,1190,380,1370,1060,360,1250,2140,1440,2170,370,1050,500,990,370
32,1760,1350,1630,300,2340,1230,380,1400,1080,360,1280,2200,1480,2230,370,1050,500,1000,370
33,1810,1380,1680,300,2390,1270,380,1430,1100,360,1310,2260,1520,2290,370,1050,500,1010,370
34,1860,1410,1730,300,2440,1310,380,1460,1120,360,1340,2320,1560,2350,370,1050,500,1020,370
35,1910,1440,1780,300,2490,1350,380,1490,1140,360,1370,2380,1600,2410,370,1050,500,1030,370
36,1960,1470,1830,300,2540,1390,380,1520,1160,360,1400,2440,1640,2470,370,1050,500,1040,370
37,2010,1500,1880,300,2590,1430,380,1550,1180,360,1430,2500,1680,2530,370,1050,500,1050,370
38,2060,1530,1930,300,2640,1470,380,1580,1200,360,1460,2560,1720,2590,370,1050,500,1060,370
39,2110,1560,1980,300,2690,1510,380,1610,1220,360,1490,2620,1760,2650,370,1050,500,1070,370
40,2160,1590,2030,300,2740,1550,380,1640,1240,360,1520,2680,1800,2710,370,1050,500,1080,370
41,2200,1620,2070,300,2740,1580,380,1670,1260,360,1550,2740,1840,2770,370,1050,500,1090,370
42,2240,1650,2110,300,2740,1610,380,1700,1280,360,1580,2800,1880,2830,370,1050,500,1100,370
43,2280,1680,2150,300,2740,1640,380,1730,1300,360,1610,2860,1920,2890,370,1050,500,1110,370
